1,155,154,1,1,4,4
2,161,160,2,2,6,10
3,162,161,3,3,1,11
4,163,162,4,4,1,12
5,166,165,5,5,3,15
6,177,176,6,6,11,26
7,181,180,7,7,4,30
8,189,188,8,8,8,38
9,200,199,9,9,11,49
10,205,204,10,10,5,54
11,212,211,11,11,7,61
12,219,218,12,12,7,68
13,224,223,13,13,5,73
14,231,230,14,14,7,80
15,236,235,15,15,5,85
16,240,239,16,16,4,89
17,245,244,17,17,5,94
18,251,250,18,18,6,100
19,255,254,19,19,4,104
20,263,262,20,20,8,112
21,275,274,21,21,12,124
22,283,282,22,22,8,132
23,289,288,23,23,6,138
24,294,292,24,24,5,143
25,297,294,25,25,3,146
26,305,296,26,26,8,154
27,311,301,27,27,6,160
28,317,304,28,28,6,166
29,322,306,29,29,5,171
30,331,315,30,30,9,180
31,340,322,31,31,9,189
32,353,334,32,32,13,202
33,360,338,33,33,7,209
34,367,342,34,34,7,216
35,371,346,35,35,4,220
36,381,354,36,36,10,230
37,392,364,37,37,11,241
38,397,367,38,38,5,246
39,411,381,39,39,14,260
40,419,388,40,40,8,268
41,429,394,41,41,10,278
42,436,399,42,42,7,285
43,442,402,43,43,6,291
44,447,406,44,44,5,296
45,458,413,45,45,11,307
46,469,421,46,46,11,318
47,475,424,47,47,6,324
48,485,430,48,48,10,334
49,494,436,49,49,9,343
50,507,443,50,50,13,356
51,516,407,51,51,9,365
52,530,392,52,52,14,379
53,535,380,53,53,5,384
54,546,379,54,54,11,395
55,557,383,55,55,11,406
56,564,383,56,56,7,413
57,576,388,57,57,12,425
58,585,393,58,58,9,434
59,596,401,59,59,11,445
60,604,405,60,60,8,453
61,612,408,61,61,8,461
62,627,412,62,62,15,476
63,635,416,63,63,8,484
64,647,421,64,64,12,496
65,660,429,65,65,13,509
66,670,434,66,66,10,519
67,680,438,67,67,10,529
68,693,443,68,68,13,542
69,701,446,69,69,8,550
70,715,455,70,70,14,564
71,725,452,71,71,10,574
72,735,454,72,72,10,584
73,750,463,73,73,15,599
74,763,467,74,74,13,612
75,774,475,75,75,11,623
76,787,480,76,76,13,636
77,801,488,77,77,14,650
78,812,491,78,78,11,661
79,827,497,79,79,15,676
80,836,496,80,80,9,685
81,851,502,81,81,15,700
82,862,503,82,82,11,711
83,877,506,83,83,15,726
84,890,508,84,84,13,739
85,905,514,85,85,15,754
86,924,521,86,86,19,773
87,932,517,87,87,8,781
88,947,524,88,88,15,796
89,964,532,89,89,17,813
90,974,532,90,90,10,823
91,989,540,91,91,15,838
92,1000,539,92,92,11,849
93,1016,550,93,93,16,865
94,1028,551,94,94,12,877
95,1041,556,95,95,13,890
96,1058,560,96,96,17,907
97,1078,570,91,96,20,927
98,1092,574,89,96,14,941
99,1109,584,87,96,17,958
100,1124,586,88,96,15,973
101,1136,585,89,96,12,985
102,1146,583,90,96,10,995
103,1160,586,91,96,14,1009
104,1170,584,92,96,10,1019
105,1187,594,66,96,17,1036
106,1199,598,67,96,12,1048
107,1215,598,68,96,16,1064
108,1229,607,68,96,14,1078
109,1244,612,69,96,15,1093
110,1260,619,70,96,16,1109
111,1275,626,71,96,15,1124
112,1290,634,72,96,15,1139
113,1302,636,73,96,12,1151
114,1316,637,74,96,14,1165
115,1327,639,75,96,11,1176
116,1342,640,76,96,15,1191
117,1358,648,77,96,16,1207
118,1380,660,78,96,22,1229
119,1397,665,79,96,17,1246
120,1416,670,80,96,19,1265
121,1436,679,81,96,20,1285
122,1457,691,82,96,21,1306
123,1481,706,83,96,24,1330
124,1494,705,84,96,13,1343
125,1519,718,85,96,25,1368
126,1531,723,86,96,12,1380
127,1554,736,75,96,23,1403
128,1572,736,76,96,18,1421
129,1586,738,77,96,14,1435
130,1607,747,78,96,21,1456
131,1625,748,74,96,18,1474
132,1642,752,75,96,17,1491
133,1654,747,76,96,12,1503
134,1675,753,77,96,21,1524
135,1693,761,78,96,18,1542
136,1713,769,79,96,20,1562
137,1730,775,77,96,17,1579
138,1751,788,73,96,21,1600
139,1778,800,74,96,27,1627
140,1795,807,75,96,17,1644
141,1816,818,76,96,21,1665
142,1848,839,74,96,32,1697
143,1874,853,75,96,26,1723
144,1896,863,76,96,22,1745
145,1917,874,77,96,21,1766
146,1938,885,78,96,21,1787
147,1959,890,79,96,21,1808
148,1976,889,76,96,17,1825
149,1992,891,77,96,16,1841
150,2026,913,78,96,34,1875
151,2051,921,79,96,25,1900
152,2071,932,80,96,20,1920
153,2093,941,79,96,22,1942
154,2112,948,80,96,19,1961
155,2140,958,81,96,28,1989
156,2167,976,79,96,27,2016
157,2190,986,80,96,23,2039
158,2217,1001,76,96,27,2066
159,2248,1015,77,96,31,2097
160,2276,1025,78,96,28,2125
161,2297,1029,79,96,21,2146
162,2318,1038,76,96,21,2167
163,2347,1053,77,96,29,2196
164,2374,1064,78,96,27,2223
165,2401,1073,79,96,27,2250
166,2429,1084,80,96,28,2278
167,2449,1091,81,96,20,2298
168,2483,1105,82,96,34,2332
169,2516,1126,83,96,33,2365
170,2553,1142,84,96,37,2402
171,2582,1153,85,96,29,2431
172,2609,1163,86,96,27,2458
173,2645,1176,87,96,36,2494
174,2675,1195,88,96,30,2524
175,2705,1197,89,96,30,2554
176,2729,1200,90,96,24,2578
177,2770,1210,91,96,41,2619
178,2800,1219,92,96,30,2649
179,2829,1228,93,96,29,2678
180,2861,1234,94,96,32,2710
181,2886,1239,95,96,25,2735
182,2910,1247,96,96,24,2759
183,2944,1258,97,97,34,2793
184,2980,1269,98,98,36,2829
185,3035,1304,89,98,55,2884
186,3067,1314,90,98,32,2916
187,3093,1311,91,98,26,2942
188,3135,1326,92,98,42,2984
189,3167,1335,93,98,32,3016
190,3216,1356,89,98,49,3065
191,3247,1355,85,98,31,3096
192,3280,1355,86,98,33,3129
193,3314,1362,87,98,34,3163
194,3362,1377,87,98,48,3211
195,3404,1387,88,98,42,3253
196,3444,1397,82,98,40,3293
197,3473,1395,74,98,29,3322
